N C#m 0.0928798
A C 144.6603175
A C 144.7067574
A C 144.7531973
A C 144.7996372
A C 144.8460771
A C 144.8925170
J A 144.9389569
J A 144.9853968
J A 145.0318367
J A 145.0782766
J A 145.1247166
H G 145.1711565
H G 145.2175964
H G 145.2640363
J A 145.3104762
J A 145.3569161
J A 145.4033560
J A 145.4497959
J A 145.4962358
J A 145.5426757
J A 145.5891156
J A 145.6355556
J A 145.6819955
H G 145.7284354
H G 145.7748753
H G 145.8213152
H G 145.8677551
J A 145.9141950
J A 145.9606349
A C 146.0070748
A C 146.0535147
A C 146.0999546
A C 146.1463946
A C 146.1928345
A C 146.2392744
A C 146.2857143
A C 146.3321542
A C 146.3785941
A C 146.4250340
A C 146.4714739
A C 146.5179138
A C 146.5643537
A C 146.6107937
A C 146.6572336
A C 146.7036735
A C 146.7501134
A C 146.7965533
J A 146.8429932
J A 146.8894331
J A 146.9358730
J A 146.9823129
J A 147.0287528
J A 147.0751927
J A 147.1216327
A C 147.1680726
A C 147.2145125
A C 147.2609524
A C 147.3073923
A C 147.3538322
A C 147.4002721
A C 147.4467120
A C 147.4931519
A C 147.5395918
A C 147.5860317
A C 147.6324717
A C 147.6789116
A C 147.7253515
A C 147.7717914
A C 147.8182313
A C 147.8646712
A C 147.9111111
J A 147.9575510
J A 148.0039909
J A 148.0504308
J A 148.0968707
J A 148.1433107
J A 148.1897506
J A 148.2361905
J A 148.2826304
J A 148.3290703
J A 148.3755102
J A 148.4219501
J A 148.4683900
J A 148.5148299
J A 148.5612698
J A 148.6077098
J A 148.6541497
J A 148.7005896
J A 148.7470295
J A 148.7934694
J A 148.8399093
J A 148.8863492
J A 148.9327891
J A 148.9792290
J A 149.0256689
J A 149.0721088
J A 149.1185488
J A 149.1649887
J A 149.2114286
J A 149.2578685
J A 149.3043084
J A 149.3507483
J A 149.3971882
J A 149.4436281
J A 149.4900680
J A 149.5365079
J A 149.5829478
J A 149.6293878
J A 149.6758277
J A 149.7222676
J A 149.7687075
J A 149.8151474
J A 149.8615873
J A 149.9080272
J A 149.9544671
J A 150.0009070
J A 150.0473469
J A 150.0937868
J A 150.1402268
J A 150.1866667
J A 150.2331066
J A 150.2795465
J A 150.3259864
J A 150.3724263
J A 150.4188662
A C 150.4653061
A C 150.5117460
A C 150.5581859
A C 150.6046259
A C 150.6510658
A C 150.6975057
A C 150.7439456
A C 150.7903855
A C 150.8368254
A C 150.8832653
A C 150.9297052
A C 150.9761451
A C 151.0225850
A C 151.0690249
A C 151.1154649
A C 151.1619048
A C 151.2083447
A C 151.2547846
A C 151.3012245
A C 151.3476644
A C 151.3941043
A C 151.4405442
A C 151.4869841
A C 151.5334240
A C 151.5798639
A C 151.6263039
A C 151.6727438
J A 151.7191837
J A 151.7656236
J A 151.8120635
J A 151.8585034
J A 151.9049433
J A 151.9513832
J A 151.9978231
J A 152.0442630
J A 152.0907029
J A 152.1371429
J A 152.1835828
J A 152.2300227
J A 152.2764626
J A 152.3229025
J A 152.3693424
J A 152.4157823
J A 152.4622222
J A 152.5086621
J A 152.5551020
J A 152.6015420
J A 152.6479819
J A 152.6944218
J A 152.7408617
J A 152.7873016
J A 152.8337415
J A 152.8801814
J A 152.9266213
J A 152.9730612
J A 153.0195011
J A 153.0659410
J A 153.1123810
J A 153.1588209
J A 153.2052608
J A 153.2517007
J A 153.2981406
J A 153.3445805
J A 153.3910204
J A 153.4374603
J A 153.4839002
J A 153.5303401
J A 153.5767800
J A 153.6232200
J A 153.6696599
J A 153.7160998
J A 153.7625397
J A 153.8089796
J A 153.8554195
J A 153.9018594
J A 153.9482993
J A 153.9947392
J A 154.0411791
J A 154.0876190
J A 154.1340590
J A 154.1804989
J A 154.2269388
J A 154.2733787
J A 154.3198186
J A 154.3662585
J A 154.4126984
J A 154.4591383
J A 154.5055782
J A 154.5520181
J A 154.5984580
J A 154.6448980
J A 154.6913379
J A 154.7377778
J A 154.7842177
J A 154.8306576
J A 154.8770975
J A 154.9235374
J A 154.9699773
J A 155.0164172
J A 155.0628571
J A 155.1092971
J A 155.1557370
J A 155.2021769
J A 155.2486168
J A 155.2950567
J A 155.3414966
J A 155.3879365
J A 155.4343764
J A 155.4808163
J A 155.5272562
J A 155.5736961
J A 155.6201361
J A 155.6665760
J A 155.7130159
J A 155.7594558
J A 155.8058957
H G 155.8523356
H G 155.8987755
H G 155.9452154
H G 155.9916553
J A 156.0380952
J A 156.0845351
J A 156.1309751
J A 156.1774150
J A 156.2238549
J A 156.2702948
J A 156.3167347
J A 156.3631746
J A 156.4096145
J A 156.4560544
J A 156.5024943
J A 156.5489342
J A 156.5953741
J A 156.6418141
J A 156.6882540
J A 156.7346939
J A 156.7811338
J A 156.8275737
J A 156.8740136
J A 156.9204535
J A 156.9668934
J A 157.0133333
J A 157.0597732
J A 157.1062132
J A 157.1526531
J A 157.1990930
J A 157.2455329
J A 157.2919728
J A 157.3384127
H G 157.3848526
H G 157.4312925
H G 157.4777324
A C 157.5241723
A C 157.5706122
A C 157.6170522
A C 157.6634921
A C 157.7099320
A C 157.7563719
A C 157.8028118
A C 157.8492517
A C 157.8956916
A C 157.9421315
A C 157.9885714
A C 158.0350113
A C 158.0814512
A C 158.1278912
A C 158.1743311
A C 158.2207710
A C 158.2672109
A C 158.3136508
A C 158.3600907
J A 158.4065306
J A 158.4529705
J A 158.4994104
J A 158.5458503
J A 158.5922902
J A 158.6387302
J A 158.6851701
J A 158.7316100
J A 158.7780499
J A 158.8244898
J A 158.8709297
J A 158.9173696
J A 158.9638095
J A 159.0102494
J A 159.0566893
J A 159.1031293
J A 159.1495692
J A 159.1960091
J A 159.2424490
J A 159.2888889
J A 159.3353288
J A 159.3817687
J A 159.4282086
J A 159.4746485
J A 159.5210884
J A 159.5675283
J A 159.6139683
A C 159.6604082
A C 159.7068481
A C 159.7532880
A C 159.7997279
A C 159.8461678
A C 159.8926077
A C 159.9390476
A C 159.9854875
A C 160.0319274
A C 160.0783673
A C 160.1248073
A C 160.1712472
A C 160.2176871
A C 160.2641270
A C 160.3105669
A C 160.3570068
A C 160.4034467
A C 160.4498866
A C 160.4963265
A C 160.5427664
A C 160.5892063
A C 160.6356463
A C 160.6820862
A C 160.7285261
A C 160.7749660
A C 160.8214059
A C 160.8678458
A C 160.9142857
A C 160.9607256
A C 161.0071655
A C 161.0536054
A C 161.1000454
A C 161.1464853
A C 161.1929252
A C 161.2393651
A C 161.2858050
A C 161.3322449
A C 161.3786848
J A 161.4251247
J A 161.4715646
J A 161.5180045
J A 161.5644444
J A 161.6108844
J A 161.6573243
J A 161.7037642
J A 161.7502041
J A 161.7966440
J A 161.8430839
J A 161.8895238
J A 161.9359637
J A 161.9824036
J A 162.0288435
J A 162.0752834
J A 162.1217234
J A 162.1681633
J A 162.2146032
J A 162.2610431
J A 162.3074830
J A 162.3539229
J A 162.4003628
J A 162.4468027
J A 162.4932426
J A 162.5396825
J A 162.5861224
J A 162.6325624
J A 162.6790023
J A 162.7254422
J A 162.7718821
J A 162.8183220
J A 162.8647619
J A 162.9112018
J A 162.9576417
J A 163.0040816
J A 163.0505215
J A 163.0969615
J A 163.1434014
J A 163.1898413
J A 163.2362812
J A 163.2827211
J A 163.3291610
J A 163.3756009
J A 163.4220408
J A 163.4684807
J A 163.5149206
J A 163.5613605
J A 163.6078005
J A 163.6542404
J A 163.7006803
J A 163.7471202
J A 163.7935601
