H G 50.5730612
H G 50.6195011
H G 50.6659410
J A 50.7123810
J A 50.7588209
J A 50.8052608
J A 50.8517007
J A 50.8981406
J A 50.9445805
J A 50.9910204
J A 51.0374603
J A 51.0839002
J A 51.1303401
J A 51.1767800
J A 51.2232200
J A 51.2696599
J A 51.3160998
J A 51.3625397
J A 51.4089796
J A 51.4554195
J A 51.5018594
J A 51.5482993
J A 51.5947392
J A 51.6411791
J A 51.6876190
J A 51.7340590
J A 51.7804989
J A 51.8269388
J A 51.8733787
A C 51.9198186
A C 51.9662585
A C 52.0126984
A C 52.0591383
A C 52.1055782
A C 52.1520181
A C 52.1984580
A C 52.2448980
H G 52.2913379
H G 52.3377778
H G 52.3842177
H G 52.4306576
H G 52.4770975
J A 52.5235374
J A 52.5699773
J A 52.6164172
J A 52.6628571
J A 52.7092971
J A 52.7557370
J A 52.8021769
J A 52.8486168
J A 52.8950567
J A 52.9414966
J A 52.9879365
J A 53.0343764
J A 53.0808163
J A 53.1272562
J A 53.1736961
J A 53.2201361
J A 53.2665760
J A 53.3130159
J A 53.3594558
J A 53.4058957
J A 53.4523356
J A 53.4987755
J A 53.5452154
J A 53.5916553
J A 53.6380952
J A 53.6845351
J A 53.7309751
A C 53.7774150
A C 53.8238549
A C 53.8702948
A C 53.9167347
A C 53.9631746
A C 54.0096145
A C 54.0560544
A C 54.1024943
A C 54.1489342
A C 54.1953741
H G 54.2418141
H G 54.2882540
H G 54.3346939
H G 54.3811338
H G 54.4275737
J A 54.4740136
J A 54.5204535
J A 54.5668934
J A 54.6133333
J A 54.6597732
J A 54.7062132
J A 54.7526531
J A 54.7990930
J A 54.8455329
J A 54.8919728
J A 54.9384127
J A 54.9848526
J A 55.0312925
J A 55.0777324
J A 55.1241723
J A 55.1706122
J A 55.2170522
J A 55.2634921
J A 55.3099320
J A 55.3563719
J A 55.4028118
J A 55.4492517
J A 55.4956916
J A 55.5421315
J A 55.5885714
J A 55.6350113
A C 55.6814512
A C 55.7278912
A C 55.7743311
A C 55.8207710
A C 55.8672109
A C 55.9136508
A C 55.9600907
A C 56.0065306
H G 56.0529705
H G 56.0994104
H G 56.1458503
H G 56.1922902
H G 56.2387302
J A 56.2851701
J A 56.3316100
J A 56.3780499
J A 56.4244898
J A 56.4709297
J A 56.5173696
J A 56.5638095
J A 56.6102494
J A 56.6566893
J A 56.7031293
J A 56.7495692
J A 56.7960091
J A 56.8424490
J A 56.8888889
J A 56.9353288
J A 56.9817687
J A 57.0282086
J A 57.0746485
J A 57.1210884
J A 57.1675283
J A 57.2139683
J A 57.2604082
J A 57.3068481
J A 57.3532880
J A 57.3997279
J A 57.4461678
J A 57.4926077
A C 57.5390476
A C 57.5854875
A C 57.6319274
A C 57.6783673
A C 57.7248073
A C 57.7712472
A C 57.8176871
A C 57.8641270
A C 57.9105669
H G 57.9570068
H G 58.0034467
H G 58.0498866
H G 58.0963265
H G 58.1427664
J A 58.1892063
J A 58.2356463
J A 58.2820862
J A 58.3285261
J A 58.3749660
J A 58.4214059
J A 58.4678458
J A 58.5142857
J A 58.5607256
J A 58.6071655
J A 58.6536054
J A 58.7000454
J A 58.7464853
J A 58.7929252
J A 58.8393651
J A 58.8858050
J A 58.9322449
J A 58.9786848
J A 59.0251247
J A 59.0715646
J A 59.1180045
J A 59.1644444
J A 59.2108844
J A 59.2573243
J A 59.3037642
J A 59.3502041
J A 59.3966440
A C 59.4430839
A C 59.4895238
A C 59.5359637
A C 59.5824036
A C 59.6288435
A C 59.6752834
A C 59.7217234
A C 59.7681633
H G 59.8146032
H G 59.8610431
H G 59.9074830
H G 59.9539229
H G 60.0003628
F F 60.0468027
F F 60.0932426
F F 60.1396825
F F 60.1861224
F F 60.2325624
F F 60.2790023
F F 60.3254422
F F 60.3718821
F F 60.4183220
F F 60.4647619
F F 60.5112018
F F 60.5576417
F F 60.6040816
F F 60.6505215
F F 60.6969615
F F 60.7434014
F F 60.7898413
F F 60.8362812
F F 60.8827211
F F 60.9291610
F F 60.9756009
F F 61.0220408
F F 61.0684807
F F 61.1149206
F F 61.1613605
F F 61.2078005
F F 61.2542404
F F 61.3006803
F F 61.3471202
F F 61.3935601
F F 61.4400000
F F 61.4864399
F F 61.5328798
F F 61.5793197
F F 61.6257596
F F 61.6721995
F F 61.7186395
F F 61.7650794
M Cm 61.8115193
M Cm 61.8579592
M Cm 61.9043991
M Cm 61.9508390
M Cm 61.9972789
M Cm 62.0437188
M Cm 62.0901587
M Cm 62.1365986
M Cm 62.1830385
M Cm 62.2294785
M Cm 62.2759184
M Cm 62.3223583
M Cm 62.3687982
M Cm 62.4152381
M Cm 62.4616780
M Cm 62.5081179
M Cm 62.5545578
M Cm 62.6009977
F F 62.6474376
F F 62.6938776
F F 62.7403175
F F 62.7867574
F F 62.8331973
F F 62.8796372
F F 62.9260771
F F 62.9725170
F F 63.0189569
F F 63.0653968
F F 63.1118367
F F 63.1582766
F F 63.2047166
F F 63.2511565
F F 63.2975964
F F 63.3440363
F F 63.3904762
F F 63.4369161
F F 63.4833560
F F 63.5297959
F F 63.5762358
C D 63.6226757
C D 63.6691156
C D 63.7155556
C D 63.7619955
C D 63.8084354
C D 63.8548753
C D 63.9013152
C D 63.9477551
C D 63.9941950
C D 64.0406349
C D 64.0870748
C D 64.1335147
C D 64.1799546
C D 64.2263946
C D 64.2728345
C D 64.3192744
C D 64.3657143
C D 64.4121542
C D 64.4585941
C D 64.5050340
C D 64.5514739
C D 64.5979138
C D 64.6443537
C D 64.6907937
C D 64.7372336
C D 64.7836735
C D 64.8301134
C D 64.8765533
C D 64.9229932
C D 64.9694331
C D 65.0158730
C D 65.0623129
C D 65.1087528
C D 65.1551927
C D 65.2016327
C D 65.2480726
C D 65.2945125
C D 65.3409524
C D 65.3873923
C D 65.4338322
C D 65.4802721
C D 65.5267120
C D 65.5731519
C D 65.6195918
C D 65.6660317
C D 65.7124717
C D 65.7589116
C D 65.8053515
C D 65.8517914
C D 65.8982313
C D 65.9446712
C D 65.9911111
C D 66.0375510
C D 66.0839909
C D 66.1304308
C D 66.1768707
C D 66.2233107
C D 66.2697506
C D 66.3161905
C D 66.3626304
C D 66.4090703
C D 66.4555102
C D 66.5019501
C D 66.5483900
H G 66.5948299
H G 66.6412698
H G 66.6877098
H G 66.7341497
H G 66.7805896
H G 66.8270295
H G 66.8734694
H G 66.9199093
H G 66.9663492
H G 67.0127891
H G 67.0592290
H G 67.1056689
H G 67.1521088
H G 67.1985488
H G 67.2449887
H G 67.2914286
H G 67.3378685
H G 67.3843084
H G 67.4307483
H G 67.4771882
H G 67.5236281
J A 67.5700680
J A 67.6165079
J A 67.6629478
J A 67.7093878
J A 67.7558277
J A 67.8022676
J A 67.8487075
J A 67.8951474
J A 67.9415873
J A 67.9880272
J A 68.0344671
J A 68.0809070
J A 68.1273469
J A 68.1737868
J A 68.2202268
J A 68.2666667
J A 68.3131066
J A 68.3595465
J A 68.4059864
J A 68.4524263
J A 68.4988662
J A 68.5453061
J A 68.5917460
J A 68.6381859
J A 68.6846259
J A 68.7310658
J A 68.7775057
J A 68.8239456
J A 68.8703855
J A 68.9168254
J A 68.9632653
J A 69.0097052
J A 69.0561451
J A 69.1025850
J A 69.1490249
J A 69.1954649
J A 69.2419048
J A 69.2883447
J A 69.3347846
J A 69.3812245
J A 69.4276644
J A 69.4741043
J A 69.5205442
J A 69.5669841
J A 69.6134240
J A 69.6598639
J A 69.7063039
J A 69.7527438
J A 69.7991837
J A 69.8456236
J A 69.8920635
J A 69.9385034
J A 69.9849433
J A 70.0313832
J A 70.0778231
J A 70.1242630
J A 70.1707029
J A 70.2171429
J A 70.2635828
J A 70.3100227
J A 70.3564626
J A 70.4029025
J A 70.4493424
J A 70.4957823
J A 70.5422222
J A 70.5886621
A C 70.6351020
A C 70.6815420
A C 70.7279819
A C 70.7744218
A C 70.8208617
A C 70.8673016
A C 70.9137415
A C 70.9601814
A C 71.0066213
A C 71.0530612
A C 71.0995011
A C 71.1459410
A C 71.1923810
A C 71.2388209
H G 71.2852608
J A 71.3317007
J A 71.3781406
J A 71.4245805
J A 71.4710204
J A 71.5174603
J A 71.5639002
J A 71.6103401
J A 71.6567800
J A 71.7032200
J A 71.7496599
J A 71.7960998
J A 71.8425397
J A 71.8889796
J A 71.9354195
J A 71.9818594
J A 72.0282993
J A 72.0747392
