M Cm 22.8484354
M Cm 22.8948753
M Cm 22.9413152
M Cm 22.9877551
M Cm 23.0341950
M Cm 23.0806349
M Cm 23.1270748
M Cm 23.1735147
M Cm 23.2199546
M Cm 23.2663946
M Cm 23.3128345
M Cm 23.3592744
M Cm 23.4057143
M Cm 23.4521542
M Cm 23.4985941
M Cm 23.5450340
M Cm 23.5914739
M Cm 23.6379138
M Cm 23.6843537
M Cm 23.7307937
M Cm 23.8236735
F F 23.8701134
F F 24.6595918
F F 24.7060317
F F 24.7524717
F F 24.7989116
F F 24.8453515
F F 24.8917914
F F 24.9382313
F F 24.9846712
F F 25.0311111
F F 25.0775510
F F 25.1239909
F F 25.1704308
F F 25.2168707
F F 25.2633107
F F 25.3097506
F F 25.3561905
F F 25.4026304
F F 25.4490703
F F 25.4955102
F F 25.5419501
M Cm 25.5883900
M Cm 25.6348299
M Cm 25.6812698
M Cm 25.7277098
M Cm 25.7741497
M Cm 25.8205896
M Cm 25.8670295
M Cm 25.9134694
M Cm 25.9599093
M Cm 26.0063492
H G 26.0527891
H G 26.0992290
H G 26.1456689
H G 26.1921088
H G 26.2385488
H G 26.2849887
J A 26.3314286
J A 26.3778685
J A 26.4243084
J A 26.4707483
J A 26.5171882
J A 26.5636281
J A 26.6100680
J A 26.6565079
J A 26.7029478
H G 26.7493878
H G 26.7958277
H G 26.8422676
H G 26.8887075
H G 26.9351474
J A 26.9815873
J A 27.0280272
J A 27.0744671
J A 27.1209070
J A 27.1673469
J A 27.2137868
J A 27.2602268
J A 27.3066667
J A 27.3531066
J A 27.3995465
J A 27.4459864
J A 27.4924263
J A 27.5388662
J A 27.5853061
J A 27.6317460
J A 27.6781859
J A 27.7246259
J A 27.7710658
J A 27.8175057
J A 27.8639456
J A 27.9103855
J A 27.9568254
J A 28.0032653
J A 28.0497052
J A 28.0961451
J A 28.1425850
J A 28.1890249
J A 28.2354649
J A 28.2819048
J A 28.3283447
J A 28.3747846
J A 28.4212245
J A 28.4676644
J A 28.5141043
J A 28.5605442
H G 28.6069841
H G 28.6534240
H G 28.6998639
H G 28.7463039
H G 28.7927438
J A 28.8391837
J A 28.8856236
J A 28.9320635
J A 28.9785034
J A 29.0249433
J A 29.0713832
J A 29.1178231
J A 29.1642630
J A 29.2107029
J A 29.2571429
J A 29.3035828
J A 29.3500227
A C 29.3964626
A C 29.4429025
A C 29.4893424
A C 29.5357823
A C 29.5822222
A C 29.6286621
A C 29.6751020
A C 29.7215420
A C 29.7679819
H G 29.8144218
H G 29.8608617
H G 29.9073016
H G 29.9537415
H G 30.0001814
H G 30.0466213
J A 30.0930612
J A 30.1395011
J A 30.1859410
J A 30.2323810
J A 30.2788209
J A 30.3252608
J A 30.3717007
J A 30.4181406
J A 30.4645805
J A 30.5110204
H G 30.5574603
H G 30.6039002
H G 30.6503401
H G 30.6967800
J A 30.7432200
